[2023-01-25T13:01:52.454] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:02:53.051] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:03:00.484] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:11.806] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:14.094] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:23.000] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:26.432] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T13:12:26.706] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:28.980] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:29.773] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:30.611] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T13:12:30.821] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:32.814] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T13:12:33.722] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T13:12:33.928] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:34.903] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:37.998] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T13:12:39.356] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T14:33:46.650] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T14:33:48.053] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T14:33:59.095] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T14:34:03.597] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T14:34:03.809] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T14:34:07.785] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T14:34:09.485] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T14:34:09.710] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:04:16.661] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:04:18.062] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:04:23.409] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:04:28.040] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:04:28.084] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:04:28.435] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:04:28.584] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:06:01.593] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:06:01.816] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:06:02.116] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:06:02.242] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:09:52.826] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:09:52.901] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:09:53.119] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:09:53.251] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:15:13.511] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:15:14.969] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:15:20.137] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:15:24.188] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:15:24.209] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
[2023-01-25T15:15:24.215] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:15:24.472] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-01-25T15:19:27.904] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/undefined, Metodo GET
[2023-01-25T15:19:27.912] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20test%20mocha, Metodo GET
[2023-01-25T15:19:27.972] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/URL%20desde%20supertest%20/%20chai, Metodo GET
